ID,Area,User Story,Expected Behaviour,Phase2 Test Result,Issues Found,Severity,Phase3 Fix,Phase4 Retest,Status
F45,Saved,"As a user, I want to reach my /saved shortlist.","A nav link to /saved so the shortlist (filled by the ubiquitous ☆ buttons) is reachable.",FAIL,"/saved page exists and SaveButton writes to it, NavCurrent includes 'saved', saved.astro passes current='saved' — but NO link to /saved exists anywhere in the UI. The shortlist is unreachable except by typing the URL.",High (UX),"Added a 'Saved' link (with live count badge) to SiteNav, shown alongside Countries on non-globe surfaces.",PASS,Fixed
F46,FindSupport,"As a founder, I want to choose guided intake or jump to search.","Path chooser: guided vs link to /explore.",PASS (page works),"Functions correctly when reached, but /find-support was not linked from any nav/page (orphan).",Medium (UX),"Added a 'Try guided discovery →' link in the /explore header so the guided-matching flow is reachable.",PASS,Fixed
F47,FindSupport,"As a founder, I want a guided questionnaire (7 questions).","One question/step, progress bar, Back/Skip/Start over, single/multi/tri, toggle-off on re-click.",PASS,None,-,-,,Verified
F48,FindSupport,"As a founder, I want ranked, explained matches.","Recommended ranked by score; MatchCard shows fit %, reasons, blockers, cautions, next step, freshness, CTAs.",PASS,None,-,-,,Verified
F49,FindSupport,"As a founder, I want to see why programs were ruled out.","Blocked programs in a collapsible <details> with their blockers.",PASS,None,-,-,,Verified
F50,FindSupport,"As a founder with no answers, I want a sensible default.","No answers => full directory ranked by trust/freshness + prompt to answer.",PASS,None,-,-,,Verified
F51,FindSupport,"As a founder, I want shareable result links and to edit/restart.","Answers sync to URL; deep link jumps to results; copy toast; Edit/Start over.",PASS,None,-,-,,Verified
F52,FindSupport,"As a founder where everything is ruled out, I want guidance.","recommended=0 shows 'Every program was ruled out' + Adjust CTA.",PASS,None,-,-,,Verified
F53,Matching,"As a founder, I want deterministic, auditable scoring.","scoreProgram: hard disqualifiers then weighted soft reasons/cautions normalized 0-100; deterministic.",PASS (45 matching unit tests),None,-,-,,Verified
F54,Submit,"As a contributor, I want to submit a new program or an update.","new/update toggle; prefill from URL; required name; builds + opens a prefilled GitHub issue; popup-blocked fallback link.",PASS,None,-,-,,Verified
F55,Submit,"As a contributor, the issue should go to the project's GitHub repo.","buildIssueUrl targets the correct repo issues/new.",PASS (works via redirect),"REPO='jcobrew/founder-atlas' while the git remote is 'jcobrew/orbital'. Consistent across all docs; likely a rename so GitHub redirects old->new. Works but relies on the redirect.",Info,"Left as-is (consistent with all docs + working via GitHub rename redirect). Noted for maintainer.",N/A,Documented
F56,Countries,"As a relocating founder, I want a grid of country ecosystem profiles.","/countries lists CountryGridCard per country; ItemList JSON-LD.",PASS,None,-,-,,Verified
F57,Countries,"As a user, clicking a country card opens its drawer (no-JS fallback).","Click intercept opens drawer; real href preserved for SEO/no-JS.",PASS,None,-,-,,Verified
F58,CountryDrawer,"As a founder, I want the two curated official portals first.","Drawer: flag/region/summary, Start-here portals (or coming-soon), houses link, filter link, jump to other countries, caveat.",PASS,None,-,-,,Verified
F59,CountryPage,"As a founder, I want a full country page with programs by city.","Start-here portals, programs list (city chips when >1), highlights, caveat; Country JSON-LD; redirect if invalid slug.",PASS,None,-,-,,Verified
F60,CityPage,"As a founder, I want a per-city page of programs.","City header (country link if profile), living-model mix, filter link, program list; ItemList JSON-LD.",PASS,None,-,-,,Verified
F61,Map,"As a user, I want a 2D Leaflet map of programs with popups.","/map: dark Leaflet map, pins, popups, legend, sidebar list (filter + fly+popup).",PASS (page works),"/map is not linked from the nav (by design per README) — reachable only by URL.",Low,"Left unlinked (intentional per README: map backs the globe minimaps).",N/A,Documented
F62,Map,"As a user, I want dense regions shown as off-coast callout insets.","Clusters >=3 render off-coast cards w/ leader line; covered markers hidden at low zoom; insets hidden when zoomed in or anchor off-screen.",PASS,None,-,-,,Verified
F63,Map,"As a user, map markers should reflect filters.","Marker opacity/visibility toggled and insets rebuilt on filter change.",PASS,None,-,-,,Verified
F64,Dashboard,"As an agent/power-user, I want a sortable URL-navigable table.","/dashboard: FilterSidebar + sortable ProgramsTable (sort/dir to URL), count, ItemList JSON-LD, agent footer.",PASS,None,-,-,,Verified
F65,Dashboard,"As an agent, I want every advertised filter param to actually work.","Dashboard honors the query params documented in llms.txt/README/footer.",FAIL,"Docs (llms.txt, README, dashboard footer) advertise type/canonicalType/focus/format/stage/sector/housing params, but filtersFromURL+passes only honor q/model/country/status (+sort/dir). The real 'model' axis is undocumented; the advertised type/focus/etc. silently do nothing.",Medium (agent contract),"Updated llms.txt, dashboard footer and README to document the actual supported params (q, model, country, status, sort, dir) and drop the removed ones.",PASS,Fixed
F66,API,"As an agent, I want the unified program dataset as JSON.","/api/programs.json: programs + meta + schema + count + facets; permissive CORS.",PASS,None,-,-,,Verified
F67,API,"As an agent, I want country profiles as JSON.","/api/countries.json: countries with programCount + meta.",PASS,None,-,-,,Verified
F68,API,"As an agent, I want taxonomy, normalized, MVP, founder-needs schema, update report.","/api/program-types, programs.normalized, programs.mvp, founder-needs-schema, update-report all render.",PASS (built),None,-,-,,Verified
F69,API,"As an agent/LLM, I want an accurate plain-text index.","/llms.txt describes project, schema, status enum, endpoints, dashboard query grammar correctly.",FAIL,"llms.txt advertises dead dashboard/explore params (type/focus/format/stage/sector/housing) and a mobile 'redirect' that doesn't exist; omits the real 'model' param.",Medium,"llms.txt corrected: documents q/model/country/status/sort, removes dead params and the redirect claim.",PASS,Fixed
F70,Logo,"As a user, I want program logos with graceful fallback.","Logo tries self-hosted->DuckDuckGo->Google favicon, then initials; fade-in.",PASS,None,-,-,,Verified
F71,About,"As a user, I want an accurate About page.","/about: hero, CTAs, FounderTriggers, type explainer, how-to-use, submit CTA, data&trust links.",PARTIAL,"'How to use it' says filters carry across 'Globe, Map and List' but the nav toggle is only Globe/List (Map is not in the toggle).",Low,"Copy corrected to 'Globe and List'.",PASS,Fixed
